iter	Passed	Remaining
405	5969	23437
406	5983	23419
407	5997	23401
408	6010	23380
409	6024	23363
410	6038	23347
411	6052	23328
412	6066	23311
413	6077	23280
414	6091	23263
415	6105	23247
416	6121	23236
417	6130	23200
418	6146	23191
419	6161	23179
420	6176	23164
421	6190	23148
422	6199	23111
423	6213	23097
424	6227	23079
425	6242	23065
426	6258	23055
427	6274	23045
428	6288	23028
429	6303	23015
430	6320	23009
431	6335	22995
432	6349	22979
433	6364	22963
434	6378	22948
435	6393	22932
436	6405	22909
437	6419	22893
438	6426	22852
439	6440	22835
440	6455	22820
441	6471	22811
442	6485	22793
443	6499	22777
444	6516	22770
445	6526	22741
446	6540	22725
447	6555	22710
448	6570	22695
449	6585	22684
450	6599	22667
451	6615	22655
452	6630	22643
453	6644	22626
454	6658	22610
455	6666	22573
456	6680	22557
457	6691	22529
458	6702	22501
459	6716	22486
460	6732	22476
461	6747	22462
462	6762	22447
463	6776	22434
464	6792	22422
465	6806	22407
466	6823	22398
467	6837	22382
468	6850	22364
469	6862	22339
470	6876	22323
471	6890	22306
472	6904	22290
473	6918	22273
474	6932	22256
475	6945	22235
476	6960	22224
477	6975	22210
478	6986	22184
479	6999	22166
480	7014	22152
481	7029	22139
482	7043	22122
483	7057	22106
484	7072	22092
485	7086	22077
486	7101	22062
487	7115	22046
488	7129	22029
489	7144	22016
490	7158	22000
491	7173	21987
492	7187	21971
493	7201	21955
494	7215	21939
495	7230	21925
496	7245	21910
497	7258	21892
498	7273	21877
499	7288	21864
500	7303	21851
501	7317	21837
502	7333	21825
503	7348	21810
504	7362	21796
505	7376	21780
506	7390	21764
507	7405	21749
508	7420	21737
509	7435	21722
510	7449	21706
511	7466	21698
512	7481	21687
513	7496	21673
514	7511	21659
515	7526	21646
516	7541	21632
517	7557	21620
518	7572	21607
519	7587	21594
520	7601	21578
521	7614	21561
522	7628	21544
523	7643	21530
524	7657	21515
525	7672	21499
526	7686	21484
527	7700	21467
528	7713	21450
529	7730	21442
530	7745	21426
531	7759	21411
532	7774	21397
533	7788	21382
534	7802	21366
535	7817	21351
536	7831	21334
537	7845	21319
538	7859	21303
539	7873	21288
540	7888	21272
541	7903	21261
542	7919	21248
543	7935	21238
544	7951	21227
545	7968	21220
546	7983	21207
547	7998	21192
548	8012	21177
549	8027	21163
550	8041	21146
551	8055	21131
552	8070	21116
553	8084	21102
554	8098	21085
555	8112	21069
556	8127	21056
557	8142	21040
558	8155	21024
559	8169	21007
560	8184	20993
561	8198	20977
562	8213	20963
563	8227	20948
564	8241	20933
565	8255	20916
566	8270	20903
567	8285	20888
568	8300	20875
569	8315	20862
570	8330	20847
571	8345	20834
572	8360	20820
573	8374	20806
574	8390	20792
575	8405	20780
576	8421	20769
577	8437	20757
578	8455	20750
579	8469	20736
580	8484	20721
581	8497	20704
582	8511	20688
583	8527	20675
584	8541	20659
585	8554	20642
586	8568	20626
587	8582	20609
588	8596	20592
589	8609	20576
590	8623	20560
591	8637	20542
592	8651	20527
593	8666	20513
594	8681	20499
595	8696	20486
596	8711	20472
597	8726	20459
598	8740	20443
599	8756	20431
600	8770	20415
601	8786	20404
602	8803	20395
603	8820	20387
604	8836	20375
605	8851	20362
606	8866	20348
607	8882	20335
608	8896	20319
609	8911	20305
610	8925	20290
611	8940	20276
612	8955	20262
613	8969	20247
614	8984	20233
615	8998	20217
616	9014	20205
617	9042	20220
