iter	Logloss
0	0.6821347822
1	0.6740474349
2	0.6651178354
3	0.655533452
4	0.6483635437
5	0.6414173592
6	0.6336024307
7	0.6262219175
8	0.6190659543
9	0.6124209771
10	0.6067399943
11	0.6008669629
12	0.5947508193
13	0.5893767182
14	0.5839982959
15	0.5788377878
16	0.5747417334
17	0.5698090463
18	0.5652246605
19	0.5600550095
20	0.5566976256
21	0.5530468992
22	0.5495440333
23	0.5455671566
24	0.5422316255
25	0.5389765998
26	0.5357261471
27	0.5322037449
28	0.528674413
29	0.525482789
30	0.5210086817
31	0.5178785623
32	0.5154168244
33	0.5126541603
34	0.5104824196
35	0.5075974389
36	0.505483137
37	0.5031940225
38	0.4997773314
39	0.4970298127
40	0.4951042049
41	0.4933067089
42	0.4902626629
43	0.4882214469
44	0.4864613552
45	0.4848168583
46	0.4831215408
47	0.4815787679
48	0.4795804341
49	0.4782844155
50	0.4770035832
51	0.4756484886
52	0.4746341866
53	0.4735243672
54	0.4723530971
55	0.4709895828
56	0.4699254439
57	0.4678455565
58	0.4656841008
59	0.464787117
60	0.4636440997
61	0.4626485513
62	0.4619316487
63	0.4606747834
64	0.4596031694
65	0.4580504793
66	0.4572411049
67	0.4563180385
68	0.455325227
69	0.4546415471
70	0.4537291423
71	0.4528988164
72	0.4524591623
73	0.4519002588
74	0.4514829258
75	0.4506699907
76	0.4497226073
77	0.44918427
78	0.4485340471
79	0.4479533121
80	0.4476683306
81	0.4462888159
82	0.4456800249
83	0.4451681903
84	0.4444935771
85	0.4437532579
86	0.4430151536
87	0.4424648465
88	0.4419712202
89	0.4411486797
90	0.4405462623
91	0.4398413713
92	0.4391858963
93	0.4386438811
94	0.4382888429
95	0.4378668205
96	0.437250438
97	0.4369149834
98	0.4364539478
99	0.4360364651
100	0.435782617
101	0.4352514562
102	0.434579571
103	0.433938944
104	0.4335103863
105	0.4331773469
106	0.4327998544
107	0.4323570793
108	0.431659408
109	0.4311904903
110	0.4307673095
111	0.4302337755
112	0.4298802998
113	0.429463746
114	0.4285881206
115	0.4281142105
116	0.4277772414
117	0.4275295379
118	0.4271872017
119	0.4270242367
120	0.4267214099
121	0.4259032442
122	0.4254548889
123	0.4251922002
124	0.4248527032
125	0.4244818991
126	0.424265333
127	0.4239428804
128	0.4234661476
129	0.4228438009
130	0.4224193113
131	0.42212438
132	0.4213099008
133	0.4209427326
134	0.4207340234
135	0.4203793337
136	0.4199807076
137	0.4196544849
138	0.4193380519
139	0.4189040758
140	0.418512383
141	0.4180470757
142	0.4178897044
143	0.4176596526
144	0.4173102661
145	0.4170805982
146	0.4168181077
147	0.4165255936
148	0.4163123431
149	0.4160814304
150	0.4157776061
151	0.4155882272
152	0.4154050448
153	0.4150518263
154	0.41486416
155	0.4145914924
156	0.414332665
157	0.4140111912
158	0.4138591532
159	0.413668996
160	0.4133312075
161	0.4130614036
162	0.4128893478
163	0.4126930207
164	0.4125323796
165	0.4116815484
166	0.4114316569
167	0.4111198547
168	0.4109344437
169	0.4105768883
170	0.4104213304
171	0.4102274453
172	0.4099869709
173	0.4096650533
174	0.4092052846
175	0.4089149458
176	0.4087099657
177	0.4084655819
178	0.4082604418
179	0.4080285776
180	0.4078068244
181	0.4074400037
182	0.4070797585
183	0.4067032752
184	0.4065813483
185	0.4064096465
186	0.4061653162
187	0.4060173387
188	0.4056825925
189	0.4053739453
190	0.4052518611
191	0.4050190238
192	0.4047783585
193	0.404219747
194	0.4039687984
195	0.4036139408
196	0.4034743227
197	0.403232917
198	0.4030486088
199	0.4027480702
200	0.4025584545
201	0.4023617156
202	0.4020523815
203	0.4018408648
204	0.4011499007
205	0.400926785
206	0.400730241
207	0.4005643374
208	0.4003390212
209	0.4001536459
210	0.3998809812
211	0.3996354288
212	0.3994690682
213	0.3990011237
214	0.3988520377
215	0.398642472
216	0.3984363688
217	0.3980771308
218	0.3979048606
219	0.3976152794
220	0.3974859136
221	0.3973253116
222	0.3971966205
223	0.3970085131
224	0.3968556734
225	0.3967585679
226	0.3966795641
227	0.396439302
228	0.3963017778
229	0.39609136
230	0.3959240217
231	0.3958298843
232	0.395694685
233	0.3955575736
234	0.3952522702
235	0.39510167
236	0.3944495663
237	0.3940807128
238	0.39390834
239	0.3937882471
240	0.3936265788
241	0.3933867787
242	0.3929043784
243	0.3927616662
244	0.3924845084
245	0.3923928011
246	0.3918486097
247	0.3916756153
248	0.3909027867
249	0.3906754617
250	0.3904746767
251	0.390293015
252	0.3895814868
253	0.3895059899
254	0.3892515414
255	0.3890977384
256	0.3888350216
257	0.3885960621
258	0.3885101867
259	0.3883887687
260	0.3880115408
261	0.387734603
262	0.3876158586
263	0.3871162712
264	0.3869086827
265	0.3867456821
266	0.3865892336
267	0.3864978383
268	0.3863840939
269	0.3862175706
270	0.3861520328
271	0.3859076889
272	0.385504061
273	0.3854216232
274	0.3850631716
275	0.3848873875
276	0.384774069
277	0.3847159244
278	0.3844957584
279	0.3843221861
280	0.3841553151
281	0.384024646
282	0.3839389725
283	0.3838184489
284	0.3834966537
285	0.383338502
286	0.3831845261
287	0.3829494259
288	0.3826516802
289	0.3821073241
290	0.3819885304
291	0.3818824694
292	0.3816969447
293	0.3815824423
294	0.3814133417
295	0.3810519472
296	0.3807996214
297	0.3806174447
298	0.380527291
299	0.380444941
300	0.3803183951
301	0.3802161002
302	0.3799956654
303	0.3798369612
304	0.3796724903
305	0.3794746564
306	0.3793275618
307	0.3790007482
308	0.3788219493
309	0.3787101027
310	0.3784391167
311	0.3782636557
312	0.37806207
313	0.3778372016
314	0.3776770585
315	0.3774600719
316	0.3773803682
317	0.377303007
318	0.3769861463
319	0.3769109866
320	0.3766446499
321	0.3761896114
322	0.3760247381
323	0.3758240714
324	0.3756784547
325	0.3754543867
326	0.3753141911
327	0.3750445027
328	0.3748387121
329	0.3747502292
330	0.3744862269
331	0.3743810829
332	0.3741740815
333	0.3739534533
334	0.3737943286
335	0.3736551439
336	0.3734542678
337	0.3732442412
338	0.3730462392
339	0.3728596198
340	0.3727725729
341	0.3724464076
342	0.3723269737
343	0.3722047315
344	0.3720824287
345	0.3717388047
346	0.3704752357
347	0.3696396649
348	0.3691001262
349	0.3689858972
350	0.368798862
351	0.3686755608
352	0.3685949338
353	0.368441862
354	0.3682917162
355	0.3681692463
356	0.3680182651
357	0.3678169226
358	0.3675424811
359	0.3673953133
360	0.3671995627
361	0.3671047821
362	0.3670462774
363	0.3668545841
364	0.366491136
365	0.3663074994
366	0.3660636428
367	0.3658862136
368	0.3657733866
369	0.365639429
370	0.3654824247
371	0.3652491672
372	0.3650757668
373	0.3649136488
374	0.3646174826
375	0.3644350174
376	0.3641849032
377	0.3638251179
378	0.3635845437
379	0.3634045369
380	0.3633232381
381	0.3631198695
382	0.3627931132
383	0.3625171471
384	0.3624044728
385	0.362234274
386	0.3620646256
387	0.3619102339
388	0.3617285834
389	0.3615494296
390	0.3613856929
391	0.3611658768
392	0.3609861814
393	0.3608249609
394	0.3606507959
395	0.3604552358
396	0.3601635766
397	0.3600560472
398	0.3599250856
399	0.3597498138
400	0.3596417392
401	0.3594854837
402	0.3592844811
403	0.3588608235
404	0.358718448
405	0.3584718689
406	0.358382342
407	0.3582312876
408	0.3579997051
409	0.3578352957
410	0.3577379969
411	0.3575746433
412	0.3573747931
413	0.3572005092
414	0.3569939304
415	0.3568311508
416	0.3565932925
417	0.3564522152
418	0.3562726573
419	0.3561340646
420	0.355919263
421	0.355831498
422	0.3556952559
423	0.3553593272
424	0.3550334344
425	0.3548285403
426	0.3546577426
427	0.3544533472
428	0.3541395468
429	0.3539789209
430	0.3538397313
431	0.3535813903
432	0.3534172519
433	0.3532925598
434	0.3531984669
435	0.3530666669
436	0.3527972042
437	0.3524544901
438	0.352148884
439	0.3519739797
440	0.3516325429
441	0.3514295786
442	0.3511361829
443	0.3509748157
444	0.3508124601
445	0.3506753152
446	0.3503983041
447	0.3502244083
448	0.3499784042
449	0.3498639988
450	0.349629075
451	0.3493250654
452	0.3491626419
453	0.3489655861
454	0.3487895159
455	0.3486940054
456	0.3485256836
457	0.348270361
458	0.3481233853
459	0.3479658081
460	0.3477811904
461	0.3475760528
462	0.3473323139
463	0.3470310265
464	0.3468552316
465	0.3464593032
466	0.3463657673
467	0.3462567426
468	0.3460402824
469	0.3459671708
470	0.3458987219
471	0.3458303305
472	0.3456624807
473	0.3456281669
474	0.3455962152
475	0.3452414212
476	0.345089678
477	0.3448465106
478	0.3446554008
479	0.3443732616
480	0.3442644793
481	0.3440734734
482	0.3438698412
483	0.3436917396
484	0.3434869163
485	0.3433552635
486	0.3431896798
487	0.3429072203
488	0.3426780172
489	0.3424883497
490	0.3422815848
491	0.3421308692
492	0.3418453833
493	0.3416524644
494	0.341507395
495	0.3412861422
496	0.3411443649
497	0.3404818887
498	0.3403788567
499	0.340142583
500	0.3397371773
501	0.3395535374
502	0.3392088893
503	0.3390257925
504	0.3388000679
505	0.3385070375
506	0.3382923253
507	0.3382105256
508	0.3380682937
509	0.3379366708
510	0.337649158
511	0.3374998163
512	0.3373414684
513	0.3371208719
514	0.3368856897
515	0.3367241346
516	0.3365035503
517	0.3363096436
518	0.3362036597
519	0.335766911
520	0.3355025106
521	0.3351215222
522	0.3349641283
523	0.3349467533
524	0.3345910264
525	0.3345469785
526	0.334185944
527	0.3338783384
528	0.3337314963
529	0.3335863452
530	0.3333789369
531	0.3332224566
532	0.3329656585
533	0.3327940479
534	0.3325944187
535	0.3324818238
536	0.332326625
537	0.3322048962
538	0.3320127206
539	0.3317038301
540	0.3315286208
541	0.331375349
542	0.3310089596
543	0.3306981362
544	0.3304538097
545	0.3303031369
546	0.3301913987
547	0.330011531
548	0.3298730123
549	0.3296780858
550	0.3294586541
551	0.3292334892
552	0.3288433733
553	0.3287130019
554	0.3285188589
555	0.3281648682
556	0.3279455503
557	0.3278024878
558	0.3275910167
559	0.3274449657
560	0.3272411982
561	0.3269989412
562	0.3266062544
563	0.3264655754
564	0.3263320584
565	0.3262321153
566	0.3259969168
567	0.3257898098
568	0.3255837424
569	0.3254910524
570	0.3252890818
571	0.3250119481
572	0.324747278
573	0.3245847999
574	0.3243794171
575	0.3243101784
576	0.3240423813
577	0.3239521014
578	0.3237329565
579	0.323439211
580	0.3232841934
581	0.323194971
582	0.3230153019
583	0.322895209
584	0.3223930846
585	0.3222519868
586	0.3221020312
587	0.3217770562
588	0.3215616945
589	0.3213731027
590	0.3212144227
591	0.321199435
592	0.3210937475
593	0.3209050483
594	0.320629455
595	0.3203915037
596	0.3201986662
597	0.3201082238
598	0.3198023676
599	0.3196497754
600	0.3195106547
601	0.3193561846
602	0.3191286628
603	0.3189244454
604	0.318708107
605	0.3184455253
606	0.3182874656
607	0.3181412543
608	0.3180033906
609	0.3178356447
610	0.3176322335
611	0.317462117
612	0.317251013
613	0.3169235218
614	0.3167603119
615	0.3165980137
616	0.316377203
617	0.316244181
618	0.3160873671
619	0.3159410138
